SERVICE_ID,SERVICE_NAME,SERVICE_TYPE,BANDWIDTH_MBPS,SLA_TIER,DELIVERED_SUBSCRIBER_ID,STATUS,CREATED_AT
svc:cell-00,SVC:CELL-00,Cell-Backhaul EVPN,10000,Gold (99.99%),sub:cust-001,HEALTHY,2026-09-02T13:16:37.288324
svc:cell-01,SVC:CELL-01,Cell-Backhaul EVPN,10000,Gold (99.99%),sub:cust-002,HEALTHY,2026-09-02T13:16:37.288461
svc:cell-02,SVC:CELL-02,Cell-Backhaul EVPN,10000,Gold (99.99%),sub:cust-003,HEALTHY,2026-09-02T13:16:37.288515
svc:cell-03,SVC:CELL-03,Cell-Backhaul EVPN,10000,Gold (99.99%),sub:cust-004,HEALTHY,2026-09-02T13:16:37.288556
svc:cell-04,SVC:CELL-04,Cell-Backhaul EVPN,10000,Gold (99.99%),sub:cust-005,HEALTHY,2026-09-02T13:16:37.288594
svc:cell-05,SVC:CELL-05,Cell-Backhaul EVPN,10000,Gold (99.99%),sub:cust-006,HEALTHY,2026-09-02T13:16:37.288630
svc:biz-00,SVC:BIZ-00,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-007,HEALTHY,2026-09-02T13:16:37.288680
svc:biz-01,SVC:BIZ-01,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-008,HEALTHY,2026-09-02T13:16:37.288714
svc:biz-02,SVC:BIZ-02,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-009,HEALTHY,2026-09-02T13:16:37.288737
svc:biz-03,SVC:BIZ-03,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-010,HEALTHY,2026-09-02T13:16:37.288760
svc:biz-04,SVC:BIZ-04,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-011,HEALTHY,2026-09-02T13:16:37.288782
svc:biz-05,SVC:BIZ-05,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-012,HEALTHY,2026-09-02T13:16:37.288805
svc:biz-06,SVC:BIZ-06,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-013,HEALTHY,2026-09-02T13:16:37.288826
svc:biz-07,SVC:BIZ-07,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-014,HEALTHY,2026-09-02T13:16:37.288847
svc:res-00,SVC:RES-00,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-015,HEALTHY,2026-09-02T13:16:37.288956
svc:res-01,SVC:RES-01,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-016,HEALTHY,2026-09-02T13:16:37.289007
svc:res-02,SVC:RES-02,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-017,HEALTHY,2026-09-02T13:16:37.289051
svc:res-03,SVC:RES-03,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-018,HEALTHY,2026-09-02T13:16:37.289102
svc:res-04,SVC:RES-04,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-019,HEALTHY,2026-09-02T13:16:37.289151
svc:res-05,SVC:RES-05,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-020,HEALTHY,2026-09-02T13:16:37.289207
svc:res-06,SVC:RES-06,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-021,HEALTHY,2026-09-02T13:16:37.289249
svc:res-07,SVC:RES-07,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-022,HEALTHY,2026-09-02T13:16:37.289291
svc:res-08,SVC:RES-08,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-023,HEALTHY,2026-09-02T13:16:37.289333
svc:res-09,SVC:RES-09,Enterprise DIA 10G,1000,Gold (99.99%),sub:cust-024,HEALTHY,2026-09-02T13:16:37.289374
